Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
15,"??2@YAPAXI@Z",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
13,"SymbolList::GetSymbolByIdent",3,0.00,0.00,0.00,0.00,"vsc.exe",
14,"_stricmp",9,0.01,0.01,0.00,0.00,"MSVCR120.dll",
13,"FunctionList::GetFuncByName",3,0.00,0.00,0.00,0.00,"vsc.exe",
14,"_stricmp",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
13,"FunctionList::getInstance",3,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::GetNextToken",6,0.06,0.01,0.00,0.00,"vsc.exe",
13,"_stricmp",80,0.06,0.06,0.00,0.00,"MSVCR120.dll",
13,"Lexer::CopyLexerState",6,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::IsCharIdent",6,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::IsCharDelim",1,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
11,"Lexer::GetNextToken",10,0.04,0.01,0.00,0.00,"vsc.exe",
12,"_stricmp",64,0.05,0.05,0.00,0.00,"MSVCR120.dll",
12,"Lexer::CopyLexerState",10,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::IsCharIdent",10,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::IsCharDelim",6,0.00,0.00,0.00,0.00,"vsc.exe",
11,"Lexer::GetLookAheadChar",10,0.03,0.01,0.00,0.00,"vsc.exe",
12,"??2@YAPAXI@Z",10,0.02,0.02,0.00,0.00,"MSVCR120.dll",
12,"Lexer::CopyLexerState",20,0.00,0.00,0.00,0.00,"vsc.exe",
10,"Parser::ParseExpr",1,0.08,0.00,0.01,0.00,"vsc.exe",
11,"Parser::ParseSubExpr",1,0.08,0.00,0.01,0.00,"vsc.exe",
12,"Parser::ParseTerm",1,0.07,0.00,0.01,0.00,"vsc.exe",
13,"Parser::ParseFactor",1,0.07,0.04,0.01,0.01,"vsc.exe",
14,"Lexer::GetNextToken",2,0.01,0.00,0.00,0.00,"vsc.exe",
15,"_stricmp",32,0.03,0.03,0.00,0.00,"MSVCR120.dll",
15,"Lexer::CopyLexerState",2,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::IsCharIdent",2,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::GetLookAheadChar",1,0.01,0.00,0.00,0.00,"vsc.exe",
15,"??2@YAPAXI@Z",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
15,"Lexer::CopyLexerState",2,0.00,0.00,0.00,0.00,"vsc.exe",
14,"ICodeStream<ICodeNode>::AddVarICodeOp",1,0.00,0.00,0.00,0.00,"vsc.exe",
15,"DList<OpList>::Append",1,0.00,0.00,0.00,0.00,"vsc.exe",
16,"??2@YAPAXI@Z",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
16,"DNode<OpList>::DNode<OpList>",1,0.00,0.00,0.00,0.00,"vsc.exe",
15,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",1,0.00,0.00,0.00,0.00,"vsc.exe",
14,"ICodeStream<ICodeNode>::AddICodeInstr",1,0.00,0.00,0.00,0.00,"vsc.exe",
15,"??2@YAPAXI@Z",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
15,"DList<ICodeNode>::Append",1,0.00,0.00,0.00,0.00,"vsc.exe",
16,"??2@YAPAXI@Z",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
14,"SymbolList::GetSymbolByIdent",1,0.00,0.00,0.00,0.00,"vsc.exe",
15,"_stricmp",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
14,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::GetNextToken",1,0.00,0.00,0.00,0.00,"vsc.exe",
